Date,Name,Year,Letterboxd URI,Type,Genre,IMDbRating,Runtime,OMDbYear
2025-05-21,Isle of Dogs,,https://boxd.it/dZrW,movie,"Animation, Adventure, Comedy",7.8,101 min,2018
2025-05-21,Top Gun: Maverick,,https://boxd.it/cjr4,movie,"Action, Drama",8.2,130 min,2022
2025-05-21,Top Gun,,https://boxd.it/29JC,movie,"Action, Drama",7.0,109 min,1986
2025-05-21,Grave of the Fireflies,,https://boxd.it/1RUM,movie,"Animation, Drama, War",8.5,88 min,1988
2025-05-21,Y Tu Mamá También,,https://boxd.it/28QM,movie,Drama,7.7,106 min,2001
2025-05-21,Terminator 2: Judgment Day,,https://boxd.it/2aGY,movie,"Action, Adventure, Sci-Fi",8.6,137 min,1991
2025-05-21,Psycho,,https://boxd.it/2ab2,movie,"Horror, Mystery, Thriller",8.5,109 min,1960
2025-05-21,Neon Genesis Evangelion,,https://boxd.it/ptEI,series,"Animation, Action, Drama",8.5,24 min,1995–1996
2025-05-21,The Seventh Seal,,https://boxd.it/2ahO,movie,"Drama, Fantasy",8.1,96 min,1957
2025-05-21,Suspiria,,https://boxd.it/1SNW,movie,Horror,7.3,92 min,1977
2025-05-21,8½,,https://boxd.it/2aqm,movie,Drama,8.0,138 min,1963
2025-05-21,Possession,,https://boxd.it/1BPm,movie,"Drama, Horror",7.3,124 min,1981
2025-05-21,Twin Peaks: Fire Walk with Me,,https://boxd.it/27Qw,movie,"Drama, Horror, Mystery",7.3,134 min,1992
2025-05-21,Twin Peaks: The Return,,https://boxd.it/hN9O,,,,,
2025-05-21,Angst,,https://boxd.it/1G46,movie,"Drama, Horror, Thriller",7.2,87 min,1983
2025-05-21,Un Chien Andalou,,https://boxd.it/29Y8,movie,"Short, Fantasy, Horror",7.6,16 min,1929
2025-05-21,Cries and Whispers,,https://boxd.it/1WK8,movie,"Documentary, Short",N/A,13 min,2015
2025-05-21,The Devils,,https://boxd.it/1inI,movie,"Biography, Drama, History",7.7,111 min,1971
2025-05-21,The Public Woman,,https://boxd.it/2tAU,movie,Drama,6.4,113 min,1984
2025-05-21,On the Silver Globe,,https://boxd.it/1sAM,movie,"Adventure, Drama, Fantasy",7.2,166 min,1988
2025-05-21,The Devil,,https://boxd.it/3iRC,movie,"Comedy, Drama",6.9,109 min,2006
2025-05-21,Akira,,https://boxd.it/2b1i,movie,"Animation, Drama, Fantasy",8.0,124 min,1988
2025-05-21,Fantastic Planet,,https://boxd.it/1KnQ,movie,"Animation, Sci-Fi",7.7,72 min,1973
2025-05-21,Crash,,https://boxd.it/29n2,movie,"Crime, Drama, Thriller",7.7,112 min,2004
2025-05-22,The Six Triple Eight,,https://boxd.it/Ear6,movie,"Drama, History, War",6.6,127 min,2024
2025-05-22,American Gangster,,https://boxd.it/23wi,movie,"Biography, Crime, Drama",7.8,157 min,2007
2025-05-22,Woman of the Hour,,https://boxd.it/vuz2,movie,"Crime, Drama, Mystery",6.6,95 min,2023
2025-05-22,Constantine,,https://boxd.it/2a7E,movie,"Action, Fantasy, Horror",7.0,121 min,2005
2025-05-22,Valhalla Rising,,https://boxd.it/17lc,movie,"Adventure, Drama, Fantasy",6.0,93 min,2009
2025-05-22,Dungeons & Dragons: Honor Among Thieves,,https://boxd.it/hN1A,movie,"Action, Adventure, Comedy",7.2,134 min,2023
2025-05-22,Lucy,,https://boxd.it/75hu,movie,"Action, Sci-Fi, Thriller",6.4,89 min,2014
2025-05-22,Circle,,https://boxd.it/b5So,movie,"Drama, Horror, Mystery",6.0,87 min,2015
2025-05-23,Talk to Me,,https://boxd.it/C6uQ,movie,"Horror, Thriller",7.1,95 min,2022
2025-05-23,Palm Springs,,https://boxd.it/lCXQ,movie,"Comedy, Fantasy, Mystery",7.4,90 min,2020
2025-05-23,The Gorge,,https://boxd.it/zRqK,movie,"Action, Adventure, Horror",6.7,127 min,2025
2025-05-23,Finch,,https://boxd.it/iXBq,movie,"Adventure, Drama, Sci-Fi",6.9,115 min,2021
2025-05-23,CODA,,https://boxd.it/tbf4,movie,"Comedy, Drama, Music",8.0,111 min,2021
2025-05-23,Inside Llewyn Davis,,https://boxd.it/34Ro,movie,"Drama, Music",7.4,104 min,2013
2025-05-23,The Ballad of Buster Scruggs,,https://boxd.it/jB2q,movie,"Comedy, Drama, Musical",7.2,133 min,2018
2025-05-23,Emancipation,,https://boxd.it/qOa2,movie,"Action, Thriller",6.3,132 min,2022
